criteria,1998.0,1999.0,2000.0,2002.0,2004.0,2005.0
General Impression,10,10.0,10.0,10.0,10.0,10.0
"Home, Harbour Areas and Other",0,0.0,0.0,0.0,60.0,60.0
"Homes, Harbour areas and other Facilities",0,60.0,60.0,60.0,0.0,0.0
Landscaping,40,40.0,40.0,40.0,40.0,40.0
Litter Control,40,40.0,40.0,40.0,40.0,40.0
Litter Control and Tidiness,0,60.0,60.0,60.0,60.0,60.0
Overall Developmental Approach,50,50.04137931034483,50.054869684499316,50.08498583569405,50.07849293563579,50.044444444444444
Overall General Impression,0,60.0,60.0,60.0,0.0,0.0
Overall General Presentation,0,0.0,0.0,0.0,60.0,60.0
"Representation of Roads, Walls and",0,0.0,0.0,0.0,60.0,60.0
Residential Areas,30,30.0,30.0,30.0,30.0,30.0
"Roads, Streets and Back Areas",40,40.0,40.0,40.0,40.0,40.0
"Roads, Walls and Hedgerows",0,60.0,60.0,60.0,0.0,0.0
TOTAL MARK,300,300.0,300.0,300.0,300.0,300.0
The Built Environment,40,40.0,40.0,40.0,40.0,40.0
Tidiness,20,20.0,20.0,20.0,20.0,20.0
Wildlife and Natural Amenities,30,30.0,30.0,30.0,30.0,30.0
