county,(total),1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
carlow,357.0,19,0,13,17,29,0,20,0,19,18,0,0,15,0,21,20,21,21,21,23,19,22,20,19
cavan,286.0,19,0,15,13,11,0,10,0,12,12,0,0,11,0,16,23,13,13,17,19,18,18,23,23
clare,636.0,38,0,32,30,31,0,28,0,26,30,5,0,27,0,34,36,33,37,38,41,44,41,40,45
cork,412.0,74,0,85,85,82,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cork-north,332.0,21,0,0,0,0,0,0,0,22,22,2,0,17,0,26,27,25,23,24,25,25,22,24,27
cork-south,417.0,0,0,0,0,0,0,0,0,27,26,2,0,24,0,34,56,31,30,29,33,32,29,32,32
cork-west,535.0,0,0,0,0,0,0,0,0,33,34,1,0,32,0,42,89,41,39,35,38,38,37,38,38
donegal,602.0,25,0,27,27,25,0,28,0,26,26,2,0,28,0,40,35,37,37,40,36,39,41,41,42
dublin,499.0,25,0,23,24,26,0,27,0,24,0,0,0,0,0,32,29,34,29,36,40,36,39,37,38
galway,656.0,35,0,28,30,30,0,28,0,24,26,2,0,19,0,29,71,43,40,42,39,40,41,46,43
kerry,627.0,35,0,36,37,37,0,34,0,30,29,4,0,21,0,34,30,38,39,34,33,33,38,40,45
kildare,621.0,32,0,31,30,29,0,32,0,30,31,2,0,33,0,35,34,36,33,37,39,41,39,38,39
kilkenny,427.0,24,0,35,34,32,0,27,0,19,21,2,0,19,0,22,21,22,24,21,22,20,23,18,21
laois,375.0,23,0,21,19,23,0,25,0,23,22,5,0,20,0,6,24,21,19,21,20,20,19,20,24
leitrim,280.0,14,0,12,12,13,0,13,0,13,15,0,0,15,0,1,34,17,17,17,18,17,18,17,17
limerick,840.0,35,0,41,43,42,0,40,0,33,32,2,0,27,0,4,57,78,67,61,56,55,54,55,58
longford,351.0,15,0,18,17,16,0,14,0,12,14,0,0,14,0,1,40,21,19,24,25,25,25,25,26
louth,365.0,17,0,16,13,15,0,15,0,13,14,0,0,13,0,1,52,25,24,26,24,24,25,23,25
mayo,556.0,30,0,26,23,21,0,25,0,30,25,3,0,30,0,4,73,37,32,32,33,30,32,36,34
meath,421.0,22,0,23,27,21,0,24,0,21,19,4,0,13,0,2,25,26,22,25,26,30,28,30,33
monaghan,309.0,15,0,13,15,16,0,14,0,18,18,2,0,18,0,2,32,13,14,20,21,18,18,19,23
offaly,431.0,25,0,23,22,22,0,21,0,24,23,3,0,21,0,0,51,22,44,18,23,21,22,23,23
roscommon,509.0,29,0,28,26,23,0,20,0,21,24,3,0,24,0,0,57,29,50,28,30,27,30,29,31
sligo,337.0,13,0,13,13,13,0,16,0,14,12,0,0,14,0,1,40,19,38,20,23,24,22,21,21
tipperary,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
tipperary-north,603.0,34,0,27,30,32,0,30,0,31,30,5,0,26,0,3,31,31,45,42,38,39,43,44,42
tipperary-south,539.0,33,0,32,34,36,0,33,0,29,28,4,0,21,0,1,28,29,24,30,39,32,34,33,39
waterford,316.0,22,0,18,21,21,0,18,0,16,14,2,0,13,0,2,32,17,17,17,10,17,20,19,20
westmeath,573.0,31,0,36,35,36,0,36,0,34,32,1,0,31,0,1,35,34,33,31,31,34,34,34,34
wexford,529.0,26,0,25,24,25,0,25,0,25,28,3,0,28,0,3,68,35,22,34,35,31,30,30,32
wicklow,417.0,23,0,0,24,22,0,17,0,19,19,3,0,18,0,1,47,28,29,29,24,28,29,28,29
(total),14186.0,754,0,697,725,729,0,706,0,668,644,62,0,592,0,398,1225,856,881,849,864,857,873,883,923
